Item Name,Frequency,Total Revenue,Avg Price,Confidence,Issue Type
Tuborg Strong (650 Ml),960,1200780.08,1250.81,ESTIMATED,Missing Bottle Size
Royalstag (180 Ml),832,1036210.64,1245.45,ESTIMATED,Missing Bottle Size
Royalstag (90 Ml),421,729156.48,1731.96,ESTIMATED,Missing Bottle Size
Imperial Blue (180 Ml),269,703931.53,2616.85,ESTIMATED,Missing Bottle Size
Tuborg Strong (500 ML),308,662994.52,2152.58,ESTIMATED,Missing Bottle Size
Kingfisher Mid (650 Ml),367,640281.01,1744.63,ESTIMATED,Missing Bottle Size
Imperial Blue (90 Ml),205,639212.16,3118.11,ESTIMATED,Missing Bottle Size
Oak Smit Silver Internation (180 Ml),294,620336.22,2109.99,ESTIMATED,Missing Bottle Size
Macdowell Rum (180 Ml),153,548873.86,3587.41,ESTIMATED,Missing Bottle Size
Oak Smith Gold (180 Ml),184,512076.94,2783.03,ESTIMATED,Missing Bottle Size
Kingfisher Mid (330 Ml),180,434111.27,2411.73,ESTIMATED,Missing Bottle Size
Corona (330 Ml),78,191284.00,2452.36,ESTIMATED,Missing Bottle Size
Kollum Rice (Half),873,173911.16,199.21,ESTIMATED,Missing Portion Size
Kollum Rice (Full),371,159126.73,428.91,ESTIMATED,Missing Portion Size
Bacardi Limon (180 Ml),61,154626.41,2534.86,ESTIMATED,Missing Bottle Size
White Mischeif (180 Ml),60,149011.54,2483.53,ESTIMATED,Missing Bottle Size
Antiquity (180 Ml),40,95654.79,2391.37,ESTIMATED,Missing Bottle Size
Ballantines (180 Ml),27,91399.49,3385.17,ESTIMATED,Missing Bottle Size
Heineken (650 Ml),38,66496.50,1749.91,ESTIMATED,Missing Bottle Size
Chicken Handi (Half),154,64499.87,418.83,ESTIMATED,Missing Portion Size
Chicken Handi (Full),56,57034.66,1018.48,ESTIMATED,Missing Portion Size
Blenders Reserve (180 Ml),61,55084.84,903.03,ESTIMATED,Missing Bottle Size
Steam Rice (Full),170,52474.47,308.67,ESTIMATED,Missing Portion Size
Port Wine 1000 (Half),16,42977.30,2686.08,ESTIMATED,Missing Portion Size
Mutton Handi (Half),83,39134.41,471.50,ESTIMATED,Missing Portion Size
Mutton Handi (Full),22,30555.37,1388.88,ESTIMATED,Missing Portion Size
Steam Rice (Half),122,26113.21,214.04,ESTIMATED,Missing Portion Size
Neer Dosa[4 Pcs],130,25060.00,192.77,ESTIMATED,Other/Missing Item
Chicken Handi Boneless (Half),55,23584.40,428.81,ESTIMATED,Missing Portion Size
Royalstag (60 Ml),92,20256.55,220.18,ESTIMATED,Missing Bottle Size
Port Wine 1000 (Full),6,19463.28,3243.88,ESTIMATED,Missing Portion Size
Oak Smit Silver Internation (90 Ml),58,17818.66,307.22,ESTIMATED,Missing Bottle Size
Blenders Reserve (90 Ml),28,17399.42,621.41,ESTIMATED,Missing Bottle Size
Magic Moments Lemon (180 Ml),5,17035.13,3407.03,ESTIMATED,Missing Bottle Size
Oak Smith Gold (90 Ml),31,16281.49,525.21,ESTIMATED,Missing Bottle Size
Oak Smith Gold (30 Ml),16,15817.74,988.61,ESTIMATED,Missing Bottle Size
Hoegaarden (330 Ml),5,15778.18,3155.64,ESTIMATED,Missing Bottle Size
Paneer Crishpy,38,14898.62,392.07,ESTIMATED,Other/Missing Item
Neer Dosa[2 Pcs],163,14856.17,91.14,ESTIMATED,Other/Missing Item
Oak Smith Gold (60 Ml),25,14022.76,560.91,ESTIMATED,Missing Bottle Size
Magic Moments Cranberry (180 Ml),4,12518.64,3129.66,ESTIMATED,Missing Bottle Size
Port Wine 1000 (180 Ml),3,12088.75,4029.58,ESTIMATED,Missing Bottle Size
Chicken Handi Boneless (Full),10,11878.83,1187.88,ESTIMATED,Missing Portion Size
paneer crispy,13,11680.83,898.53,ESTIMATED,Other/Missing Item
Desi Chicken Handi (Half),24,11040.32,460.01,ESTIMATED,Missing Portion Size
Oak Smit Silver Internation (60 Ml),32,10746.74,335.84,ESTIMATED,Missing Bottle Size
Bacardi Limon (60 Ml),25,10731.56,429.26,ESTIMATED,Missing Bottle Size
Bacardi Limon (90 Ml),18,10037.75,557.65,ESTIMATED,Missing Bottle Size
Royalstag (30 Ml),44,9483.58,215.54,ESTIMATED,Missing Bottle Size
Blenders Reserve (60 Ml),21,9353.16,445.39,ESTIMATED,Missing Bottle Size
Bacardi Limon (30 Ml),16,8855.64,553.48,ESTIMATED,Missing Bottle Size
Chicken Lollipop,28,7172.50,256.16,ESTIMATED,Other/Missing Item
Bira White (650 Ml),7,6930.57,990.08,ESTIMATED,Missing Bottle Size
vade 2pc,38,6520.98,171.60,ESTIMATED,Other/Missing Item
Desi Chicken Handi (Full),6,6484.50,1080.75,ESTIMATED,Missing Portion Size
White Mischeif (90 Ml),17,6462.01,380.12,ESTIMATED,Missing Bottle Size
Imperial Blue (60 Ml),21,6391.83,304.37,ESTIMATED,Missing Bottle Size
extra,30,6066.20,202.21,ESTIMATED,Other/Missing Item
Royal Stag Double Dark (180 Ml),1,5830.45,5830.45,ESTIMATED,Missing Bottle Size
Ballantines (60 Ml),8,5769.97,721.25,ESTIMATED,Missing Bottle Size
Chivas Regal (60 Ml),6,5584.88,930.81,ESTIMATED,Missing Bottle Size
fried noodle,13,5480.75,421.60,ESTIMATED,Other/Missing Item
fry noodls,16,5472.46,342.03,ESTIMATED,Other/Missing Item
Antiquity (60 Ml),15,5208.42,347.23,ESTIMATED,Missing Bottle Size
Antiquity (90 Ml),10,4880.83,488.08,ESTIMATED,Missing Bottle Size
salad half,17,4753.00,279.59,ESTIMATED,Other/Missing Item
Bombay Saphire (90 Ml),5,4646.25,929.25,ESTIMATED,Missing Bottle Size
Chicken Chilli Dry,19,4136.67,217.72,ESTIMATED,Other/Missing Item
Bombay Saphire (60 Ml),5,4025.35,805.07,ESTIMATED,Missing Bottle Size
king prawns koliwoda,3,3777.50,1259.17,ESTIMATED,Other/Missing Item
chicken butter garlic,1,3660.00,3660.00,ESTIMATED,Other/Missing Item
bacadi m chilly,1,3582.22,3582.22,ESTIMATED,Other/Missing Item
crab jumbo masal fry,1,3410.00,3410.00,ESTIMATED,Other/Missing Item
Oak Smit Silver Internation (30 Ml),14,3222.90,230.21,ESTIMATED,Missing Bottle Size
Salad half,2,3156.67,1578.34,ESTIMATED,Other/Missing Item
king prawans kolivada,2,3081.25,1540.63,ESTIMATED,Other/Missing Item
king prowans kolivada,1,3045.67,3045.67,ESTIMATED,Other/Missing Item
king prawans masala fry,1,3045.67,3045.67,ESTIMATED,Other/Missing Item
crab jumbo butur garic,3,2993.33,997.78,ESTIMATED,Other/Missing Item
Ballantines (90 Ml),2,2463.33,1231.67,ESTIMATED,Missing Bottle Size
ushal,3,2425.67,808.56,ESTIMATED,Other/Missing Item
crab jumbo ghee rost,2,2422.50,1211.25,ESTIMATED,Other/Missing Item
king prawans gee rost,2,2320.00,1160.00,ESTIMATED,Other/Missing Item
Antiquity (30 Ml),6,2287.67,381.28,ESTIMATED,Missing Bottle Size
crab jumbo buter garic,1,2286.00,2286.00,ESTIMATED,Other/Missing Item
jumbo rawas,1,2246.00,2246.00,ESTIMATED,Other/Missing Item
curd,11,2231.83,202.89,ESTIMATED,Other/Missing Item
Chivas Regal (180 Ml),1,2230.00,2230.00,ESTIMATED,Missing Bottle Size
vade 1pc,8,2211.42,276.43,ESTIMATED,Other/Missing Item
Bombay Saphire (180 Ml),2,2206.25,1103.13,ESTIMATED,Missing Bottle Size
Chivas Regal (30 Ml),4,2147.17,536.79,ESTIMATED,Missing Bottle Size
king prawns ghee rost,1,2135.00,2135.00,ESTIMATED,Other/Missing Item
halp salad,9,2083.38,231.49,ESTIMATED,Other/Missing Item
Legacy (180 Ml),1,2047.00,2047.00,ESTIMATED,Missing Bottle Size
pomret jambo tawa fry,1,1996.25,1996.25,ESTIMATED,Other/Missing Item
king prwas kolivada,1,1996.25,1996.25,ESTIMATED,Other/Missing Item
Mushroom Chilli,7,1950.00,278.57,ESTIMATED,Other/Missing Item
carab jumbo masala fry,2,1908.00,954.00,ESTIMATED,Other/Missing Item
Blenders Reserve (30 Ml),7,1856.83,265.26,ESTIMATED,Missing Bottle Size
Chicken Manchow Soup,6,1828.33,304.72,ESTIMATED,Other/Missing Item
Chivas Regal (90 Ml),2,1825.00,912.50,ESTIMATED,Missing Bottle Size
Ballantines (30 Ml),2,1820.00,910.00,ESTIMATED,Missing Bottle Size
crab buter garic fry,1,1691.00,1691.00,ESTIMATED,Other/Missing Item
EGG MUNCHOW SOUP,1,1680.00,1680.00,ESTIMATED,Other/Missing Item
Macdowell Rum (60 Ml),8,1578.65,197.33,ESTIMATED,Missing Bottle Size
Prawn Chilli Manchurian,6,1486.00,247.67,ESTIMATED,Other/Missing Item
half salad,8,1422.17,177.77,ESTIMATED,Other/Missing Item
White Mischeif (30 Ml),8,1417.14,177.14,ESTIMATED,Missing Bottle Size
king prawans tawa fry 1kg,1,1353.33,1353.33,ESTIMATED,Other/Missing Item
White Mischeif (60 Ml),10,1351.42,135.14,ESTIMATED,Missing Bottle Size
Imperial Blue (30 Ml),9,1348.10,149.79,ESTIMATED,Missing Bottle Size
Bombay Saphire (30 Ml),6,1298.52,216.42,ESTIMATED,Missing Bottle Size
carab jumbo ghee rost,1,1293.33,1293.33,ESTIMATED,Other/Missing Item
pomfret bills masala fry,1,1293.33,1293.33,ESTIMATED,Other/Missing Item
king prawans chilly,1,1290.00,1290.00,ESTIMATED,Other/Missing Item
FRY NOODLS,4,1252.50,313.13,ESTIMATED,Other/Missing Item
king prawans  gee ro,1,1250.00,1250.00,ESTIMATED,Other/Missing Item
veg hakha noodles,1,1148.00,1148.00,ESTIMATED,Other/Missing Item
king prawans butter garlic,1,1125.00,1125.00,ESTIMATED,Other/Missing Item
fry nodles,4,1077.96,269.49,ESTIMATED,Other/Missing Item
king prons chili,1,1020.00,1020.00,ESTIMATED,Other/Missing Item
